question,document
How important is the homework for my overall ranking if it doesn’t affect my certificate eligibility?,9f689c185f
What is the main requirement to obtain a certificate from this course aside from completing the homework?,9f689c185f
What does it mean if my homework is labeled with `[DRAFT]`?,96286b4be4
Why is it risky to start working on homework before it's finalized?,96286b4be4
How can I tell when the homework is officially ready?,96286b4be4
Are there any specific indicators that the homework content will remain unchanged?,96286b4be4
What should I do if I want to prepare for the homework while it’s still a draft?,96286b4be4
When is the next time the course will take place?,bd31146b0e
Can you tell me when the course is scheduled for the next session?,bd31146b0e
What is the start date for the upcoming offering of the course?,bd31146b0e
Is there a specific date for the next course offering?,bd31146b0e
When should I expect the course to be available again?,bd31146b0e
Where can I find the lectures or videos for the course?,31456f4b5f
Is there a specific place I should look for lesson materials and videos?,31456f4b5f
How do I access the videos for each lesson in the LLM Zoomcamp?,31456f4b5f
Are the course videos available on GitHub or elsewhere?,31456f4b5f
What should I check if I need the most recent updates on the course materials?,31456f4b5f
How do I find the syllabus and deadlines for the LLM Zoomcamp?,20c5a1347e
Is there a specific platform where I can keep track of my homework and progress in this course?,20c5a1347e
What is the best way to monitor my progress and assignments for the LLM Zoomcamp?,20c5a1347e
Can you tell me where I can see the current structure and requirements for the LLM Zoomcamp?,20c5a1347e
Are there any resources provided for tracking deadlines and homework in LLM Zoomcamp?,20c5a1347e
"Will there be live sessions for each module, or are they all pre-recorded?",d65e05bd7a
How can I get support if I'm struggling with the course materials?,d65e05bd7a
"Are there any announced live sessions, and how do I find out about them?",d65e05bd7a
"Is there a paid option for extra help, and what does it include?",d65e05bd7a
Can I ask questions on Slack if I need assistance with something?,d65e05bd7a
Is it allowed to use Bluesky posts for getting credits in public learning?,dbf5369006
Can I leverage Bluesky for educational credits related to this course?,dbf5369006
Are Bluesky posts acceptable for earning credits in public learning settings?,dbf5369006
Can I utilize Bluesky to enhance my learning credits in public?,dbf5369006
Is using Bluesky for public credits approved in this course?,dbf5369006
What’s the link to the LLM Zoomcamp Telegram channel?,054f3fd58f
Can I use the Telegram channel for asking technical questions?,054f3fd58f
Is the Telegram channel mainly for announcements or something else?,054f3fd58f
Where do I go for technical discussions related to the course?,054f3fd58f
Do you have a separate platform for course discussions other than Telegram?,054f3fd58f
Why is there a discrepancy between the record count in the FAQ dataset and what’s shown in the videos?,e2d595f23c
Can you explain why the number of FAQ records changes over time?,e2d595f23c
What’s the reason the count of records I see differs from the video examples?,e2d595f23c
Is it normal for the FAQ dataset to have different records than what was recorded in the videos?,e2d595f23c
How come the FAQ dataset updates while I’m trying to follow along with the videos?,e2d595f23c
Is it okay to submit my homework after the deadline if the form is still open?,a9353fadfe
What happens if I miss the homework deadline but the form is still accepting submissions?,a9353fadfe
Can I still turn in my assignments if the deadline has passed but the submission link is still active?,a9353fadfe
What should I do if I realize I’m late with my homework but the submission form hasn't closed yet?,a9353fadfe
Does the deadline matter if I can still access the homework submission form to submit my answers?,a9353fadfe
Is it possible to submit my homework after the deadline if I miss it?,cdc3b285e5
Can I request an extension for my homework submissions in this course?,cdc3b285e5
What happens if I forget to turn in my homework before the deadline?,cdc3b285e5
Do late homework submissions have any effect on my overall certificate eligibility?,cdc3b285e5
"If I miss the homework deadline, will it impact my ranking on the leaderboard?",cdc3b285e5
Is the name I enter for my certificate visible to others online or sold to anyone?,651ba06b34
Will my actual name be displayed publicly when I receive my course certificate?,651ba06b34
How does the public leaderboard work regarding my name on the certificate?,651ba06b34
Can I customize my display name on the leaderboard separately from my certificate name?,651ba06b34
Does the certificate name affect how I'm viewed on the public leaderboard?,651ba06b34
What’s the reason behind not using LangChain in this course?,b7cdde6b25
Why do we need to learn the components like prompting and retrieval instead of just using a framework?,b7cdde6b25
Is there a specific benefit to not using LangChain and doing things from scratch?,b7cdde6b25
Can you explain why understanding the basics is important before using frameworks like LangChain?,b7cdde6b25
How does building the core pieces ourselves help us in the long run with LLM-powered apps?,b7cdde6b25
What do I do if I get an error saying 'Insufficient credits' while using the OpenAI responses.create command?,f5df151c59
Why am I encountering an OpenAI API error when trying to run the responses.create command?,f5df151c59
Is there a common reason for receiving an 'Insufficient credits' error with OpenAI's commands?,f5df151c59
How can I fix the error I see when executing the OpenAI responses.create command?,f5df151c59
What does the error message 'OpenAI API Error: Insufficient credits' mean for my account?,f5df151c59
What does the RateLimitError code 429 mean for my OpenAI API usage?,152af39a53
How can I check if I've exceeded my OpenAI API quota?,152af39a53
"Is there any free usage available for the OpenAI API, or do I need to add funds?",152af39a53
Where can I go to add credits to my OpenAI account?,152af39a53
"Do I need to recreate my API key after adding credits, and what steps should I follow?",152af39a53
What are the estimated costs for using the OpenAI API during this course?,554d0eb78b
How much should I budget for the OpenAI API while taking this course?,554d0eb78b
Is it true that using the OpenAI API won't break the bank for this course?,554d0eb78b
"If I want to use the OpenAI API, what's the minimum amount I need to add?",554d0eb78b
Can you give me an idea of how much I might actually spend on the OpenAI API?,554d0eb78b
"Is there a cost for using the OpenAI API in this course, or can I do the assignments for free?",85384a18e5
Can I complete the course without spending money on OpenAI API?,85384a18e5
What are my options if I want to avoid paying for the OpenAI API for the course?,85384a18e5
Are there any free alternatives to the OpenAI API that I can use for the coursework?,85384a18e5
Will I need to purchase a subscription to OpenAI API in order to finish the homework for this course?,85384a18e5
What are the advantages of using the uv package manager over traditional tools like pip and virtualenv?,f81dea8f7e
"Is it mandatory to use uv for this course, or can I stick with pip and virtualenv?",f81dea8f7e
Can you explain how uv simplifies the management of Python versions and dependencies?,f81dea8f7e
What makes uv faster and more convenient compared to other package managers?,f81dea8f7e
Where can I find more information about the uv package manager?,f81dea8f7e
What should I do if my Jupyter notebook can't find the OPENAI_API_KEY?,86d99bbf21
How can I ensure my OPENAI_API_KEY works in the notebook?,86d99bbf21
Is there a specific package I need to install for the OPENAI_API_KEY to be recognized?,86d99bbf21
Can you explain how to load the .env file in my Jupyter notebook?,86d99bbf21
What is the correct variable name I should use in my .env file for the API key?,86d99bbf21
What should I do to securely store my API keys while working on the course project?,233dabe430
How can I use a `.env` file to manage my API keys for the assignments in this course?,233dabe430
Is there a specific package I need to install for loading environment variables from a `.env` file?,233dabe430
What are the necessary steps to ensure my API keys are not exposed in version control like Git?,233dabe430
Can you walk me through the process of loading API keys in Python using the recommended method in the course?,233dabe430
"Is it mandatory to use the recommended model for the homework, or can I choose another one?",ee43413718
What alternatives do I have for the model suggested in the assignment?,ee43413718
"If I decide to use a different provider, will I need to change the code?",ee43413718
Are there any specific models I should avoid using for the homework?,ee43413718
Where can I find a list of alternative models to use for this course?,ee43413718
What do I need to set up before using Google Gemini models in the Module 1 notebook?,0ae5c221b9
Can you explain how to configure the OpenAI client to work with Google Gemini models?,0ae5c221b9
Is there a sample code snippet for making requests with the Google Gemini model in the course?,0ae5c221b9
Are there any specific modifications needed in the notebook when working with the older chat completions style?,0ae5c221b9
What should I do if I receive an error when trying to access the OpenAI-compatible endpoint for Gemini models?,0ae5c221b9
What steps should I follow to ask Gemini for structured output as Pydantic objects when the responses.parse option isn’t available?,341f71f28c
Can you explain how to set up a Pydantic model for structured output from Gemini using the OpenAI SDK?,341f71f28c
Is there any specific code I need to use to call the chat.completions.parse in order to get results from Gemini?,341f71f28c
What API key and endpoint should I use to leverage the OpenAI SDK for Gemini's chat completions?,341f71f28c
Are there any additional requirements I need to meet in order to successfully parse the output as Pydantic objects?,341f71f28c
What are the installation steps for Ollama on different operating systems?,1d0b969028
How can I start using the LLaMA 3 model after installing Ollama?,1d0b969028
Is there a way to test if the Ollama server is running properly?,1d0b969028
What command do I need to use to install the Python client for Ollama?,1d0b969028
Can you show me a basic example of how to use the Ollama Python client?,1d0b969028
What should I do if I get a connection refused error while using Ollama RAG in the homework?,c6fc2d4d11
Is there a specific command I can use to fix the connection refused error with Ollama?,c6fc2d4d11
Do I need to run any command again if I restart the notebook cell for the homework?,c6fc2d4d11
Can you tell me how to restart the Ollama server if I run into issues?,c6fc2d4d11
Are there steps I should follow to resolve connection errors with Ollama during my work on Module 1?,c6fc2d4d11
Why is there a difference in token counts between my calculations and OpenAI's reports?,bf0403d21b
What causes the additional tokens when I use OpenAI's API?,bf0403d21b
"I counted 320 tokens, but OpenAI says it's 327. What explains this discrepancy?",bf0403d21b
Are there specific factors in my input that could increase the token count reported by OpenAI?,bf0403d21b
Can certain formatting in my messages impact the token count when using the API?,bf0403d21b
What is `dirdotenv` and how does it help with setting API keys?,8b2f5e9d04
Can you explain how to install `dirdotenv` and what I need to add to my shell configuration?,8b2f5e9d04
How can I make sure my API keys are loaded automatically when I enter my project directory?,8b2f5e9d04
What should I do to prevent my API keys from being pushed to GitHub?,8b2f5e9d04
Are there alternative methods for managing API keys in GitHub Codespaces or for Python scripts?,8b2f5e9d04
What is the best way to choose field weights for a search engine like minsearch?,87d4ea4e08
Can you explain how to systematically evaluate different field weights for search engines?,87d4ea4e08
How do I determine which documents to retrieve when setting field weights?,87d4ea4e08
What retrieval metrics should I compare when adjusting field weights?,87d4ea4e08
"Is trial and error a good method for tuning weights in small projects, or should I follow a different approach?",87d4ea4e08
What are the key steps to clean and prepare documents for RAG?,649c280e6d
How do I ensure my documents are well-structured for better retrieval?,649c280e6d
What kind of metadata should I keep when preparing documents for RAG?,649c280e6d
Is there a specific format I need to use when storing prepared documents?,649c280e6d
How can I effectively chunk documents while preserving context for RAG?,649c280e6d
I keep getting a warning about failed hardlinks in Codespaces. Does that mean I'm running into an error?,acf8fa5356
What should I do if `uv` can't hardlink files when I'm using GitHub Codespaces?,acf8fa5356
Is it okay that `uv` resorts to copying files instead of hardlinking in Codespaces?,acf8fa5356
How can I stop the warning for hardlink failures in my current shell?,acf8fa5356
Can you guide me on how to make the hardlink suppression permanent in my setup?,acf8fa5356
I'm getting an error that says dotenv is not recognized. What do I need to install to fix this?,0bed1f48da
Can someone tell me how to properly install python-dotenv for my project?,0bed1f48da
"After installing dotenv, how do I import and use it in my Python code?",0bed1f48da
Is there a specific command I should run to add the python-dotenv package?,0bed1f48da
Where can I find more information about the python-dotenv package?,0bed1f48da
Is it possible to run the course outside of Codespaces?,aa310de435
What are the requirements if I decide to run the course locally?,aa310de435
How should I document my local setup for the course?,aa310de435
Can you explain why Codespaces is recommended for this course?,aa310de435
What tools do I need to install for running the course on my own?,aa310de435
"If I make changes in Codespaces but forget to commit, will that code be lost if something goes wrong?",610ccb23c0
What should I do to ensure my work in Codespaces is safe from getting lost?,610ccb23c0
Can you explain what Codespaces is in terms of code storage and its limitations?,610ccb23c0
What are the risks of not committing my code regularly while using Codespaces?,610ccb23c0
Is there any guarantee that my code will be preserved in Codespaces without committing it to GitHub?,610ccb23c0
"I'm getting a memory error in WSL2, but my system has enough RAM. What could be the issue?",f3dd94f323
How can I increase the RAM allocated to WSL2 if I'm running into memory errors?,f3dd94f323
What steps do I need to follow to create a .wslconfig file to adjust RAM settings in WSL2?,f3dd94f323
"After changing the memory allocation for WSL2, how can I confirm that the changes took effect?",f3dd94f323
Is there a resource that explains how to limit memory usage in WSL2 that I can check out for further details?,f3dd94f323
"What can I do if my Codespace is stuck on ""Finishing up"" and won't reconnect?",830f3d2018
Is there a specific solution for when my setup in Codespace has disappeared?,830f3d2018
Can you walk me through the steps to restart my Codespace if it's not connecting?,830f3d2018
"What should I keep in mind about my project when using Codespace, especially regarding saving changes?",830f3d2018
"If I continue to have issues with Codespaces, is running the course locally a viable option?",830f3d2018
Can I choose a different LLM provider instead of OpenAI for this course if I want to?,c6ff9083c0
What should I do if OpenAI is blocked in my region?,c6ff9083c0
Are there any recommendations for hosted models I can use besides OpenAI?,c6ff9083c0
Is it possible to run a model locally so I don't rely on external APIs?,c6ff9083c0
What happens if I want to serve a model on my own GPU?,c6ff9083c0
What are some strategies to prevent hitting the OpenAI's rate limits while working on the course?,8e21752415
Can you explain how to set up the OpenAI client to handle 429 errors more effectively?,8e21752415
Is there a way to manage API calls to avoid running into rate limit issues during the course?,8e21752415
What can I do if I encounter the 'insufficient_quota' error while using OpenAI?,8e21752415
Are there alternative providers I can use to avoid hitting OpenAI's limits?,8e21752415
Can someone explain what tools and functions mean in the context of agentic RAG?,c296ea5a21
"What’s the difference between a tool and a function in agentic RAG, if there is one?",c296ea5a21
How does an agentic RAG model decide to use tools or functions?,c296ea5a21
Are tools and functions important for the model's performance in this module?,c296ea5a21
What types of external help can the model access through these tools and functions?,c296ea5a21
Are there any free models available that support tool usage in this course?,0d74a3616f
Can you tell me which Groq models allow for tool use and if they're free?,0d74a3616f
What other providers support function calling besides the Groq models?,0d74a3616f
Will I need to change my code if I switch from OpenAI to a different model for tool use?,0d74a3616f
Where can I find more information about using tools with Groq models?,0d74a3616f
What should I do if I get an 'AttributeError' related to the OpenAI Responses API on a non-OpenAI model?,9e7b3f0c25
Can you explain how to fix the error with the OpenAI Responses API for models not from OpenAI?,9e7b3f0c25
What alternative should I use instead of the OpenAI Responses API for other models?,9e7b3f0c25
Is it possible to use the older `chat.completions` API for my project if my provider doesn't support the new responses API?,9e7b3f0c25
How do I adapt the tools schema when using a non-OpenAI provider in my code?,9e7b3f0c25
What should I do when I encounter a 400 error with Azure OpenAI regarding a missing parameter for the function?,b9c7c6bb34
Can anyone explain how to resolve the issue with the 'tools[0].function' parameter in my Azure OpenAI setup?,b9c7c6bb34
Is there a specific way to format the get_weather_tool JSON to avoid the missing required parameter error?,b9c7c6bb34
How can I correctly set up the get_weather function in my Azure OpenAI integration to prevent this error from occurring?,b9c7c6bb34
Could you provide guidance on fixing the Error code: 400 in Azure OpenAI related to missing function parameters?,b9c7c6bb34
How do I utilize toyaikit with a provider like Groq if I'm encountering a 404 error?,0224d980b3
Is there a way to run toyaikit with Anthropic instead of OpenAI?,0224d980b3
What code changes do I need to make when switching from OpenAI to Groq for chat completions?,0224d980b3
Can you explain how to set up the Anthropic client when using toyaikit for a project?,0224d980b3
Are there any specific model IDs I should use when working with different providers in toyaikit?,0224d980b3
Can you tell me where I can find the homework questions for Module 1?,53f15299b6
Is there a specific place where the homework links are stored?,53f15299b6
Where should I check for the instructions on the Module 1 homework?,53f15299b6
Are the homework questions available on the course platform or somewhere else?,53f15299b6
What do I need to look at for the Module 1 homework details?,53f15299b6
I'm getting an empty list when I try to filter my query for Module 1 homework. What should I check?,83da208a64
Could my indexing setup be causing issues with filtering my query results?,83da208a64
What are the steps to properly configure indexing settings before I add data?,83da208a64
Why is it important to set index settings before adding data in this course?,83da208a64
How do I fix the problem of my query returning no results in the homework assignment?,83da208a64
What causes the APIStatusError code 402 when I use responses.create() with OpenRouter?,cfb07a27d5
How can I fix the error related to max_output_tokens while using OpenRouter?,cfb07a27d5
What should I set max_output_tokens to for homework to avoid errors with OpenRouter?,cfb07a27d5
Are there specific steps to confirm if my .env file is setup correctly for OpenRouter?,cfb07a27d5
What do I need to check if I'm still facing issues after trying the suggested fixes for the 402 error?,cfb07a27d5
Can you explain what it means to direct RAG at the chunk index in the Module 1 homework?,b4300adeb1
Why should we use chunked documents instead of the original full documents for our search index?,b4300adeb1
What’s the code snippet I should use to fit the search index with the chunked records?,b4300adeb1
How does using chunks help in managing the context that’s provided to the model?,b4300adeb1
Can you clarify the importance of fitting the index using chunks versus the original documents?,b4300adeb1
"Do I have to select the exact answer from the homework options, or can I choose a close one?",5e4ca64cb5
What should I do if my homework answer differs significantly from the given options?,5e4ca64cb5
Can small discrepancies in numeric answers be acceptable in the homework?,5e4ca64cb5
What factors might cause my answers to vary slightly from the options provided?,5e4ca64cb5
Is there any specific guidance on how to handle homework answers that don't match exactly?,5e4ca64cb5
What steps should I take if I'm having difficulty understanding the homework questions?,7d3a2e3505
Where can I find the specific instructions for Module 1 homework?,7d3a2e3505
How can I effectively communicate my confusion about a homework question on Slack?,7d3a2e3505
Is the homework for Module 1 directly related to what we learned in the lectures?,7d3a2e3505
What should I check if the homework instructions don't make sense to me?,7d3a2e3505
What should I do to find token counts for the Module 1 homework using a different AI provider?,fe8fed31e6
"If I’m using a non-OpenAI model, how can I ensure I get accurate token counts for my homework?",fe8fed31e6
Can I use `tiktoken` for token counts if I'm working with providers like Gemini or Hugging Face?,fe8fed31e6
What kind of information should I look for in the response object to get token usage details?,fe8fed31e6
How do I handle tokenization if my provider doesn’t give explicit token usage data?,fe8fed31e6
What should I do if my homework submission gets rejected due to a non-200 status code on my repo URL?,bcdb8740ce
How can I ensure my project repo URL returns a 200 status for homework submissions?,bcdb8740ce
What common issues could cause my submitted repo URL to yield a 500 error during homework review?,bcdb8740ce
Is there a way to check if my homework repo URL is accessible without submitting it?,bcdb8740ce
Could you explain why the submission checker needs the repo URL to be public for it to work correctly?,bcdb8740ce
Can you explain what embeddings are in simple terms?,69430a79a8
How do embeddings help with non-numerical data?,69430a79a8
What’s the purpose of using embeddings in data processing?,69430a79a8
What concepts are related to embeddings that I should know about?,69430a79a8
Why do we care about the proximity of numerical values in embeddings?,69430a79a8
"I keep seeing a warning about ""model multi-qa-mpnet-base-dot-v1"". What can I do to get rid of it?",aa3f597424
"Is there a specific version of sentence-transformers I need to suppress the warning for ""multi-qa-mpnet-base-dot-v1""?",aa3f597424
What command should I run to upgrade sentence-transformers and eliminate the warning message?,aa3f597424
"Do I need to check the version of sentence-transformers, and if so, how can I upgrade it to fix the warning?",aa3f597424
Can you give me the steps to upgrade sentence-transformers for resolving the warning on my model?,aa3f597424
Why did we use `.dot(...)` for cosine similarity in the lesson while normalization was highlighted in the homework?,92cd22cada
Can you explain why the embeddings in the lesson are treated as normalized but those in the homework are not?,92cd22cada
What’s the difference between how we handle embeddings in the lesson compared to the homework regarding normalization?,92cd22cada
"If the embeddings in the homework are not normalized, how should I adjust my calculations for cosine similarity?",92cd22cada
Why is it okay to assume the model's embeddings are normalized in the lesson but not in the homework?,92cd22cada
"When doing vector search, should I embed both the question and answer, or just one of them?",5c4a8d2e60
Is it better to embed just the answer or just the question for vector search?,5c4a8d2e60
What are the embedding options for questions and answers in vector search according to the course?,5c4a8d2e60
"Can you explain the benefits of embedding either the question, the answer, or both for vector search?",5c4a8d2e60
What factors should I consider when choosing how to embed for vector search in our dataset?,5c4a8d2e60
Can you explain what cosine similarity is in simple terms?,db78580409
How do we use cosine similarity in text analysis?,db78580409
What does it mean when cosine similarity is 1 or 0?,db78580409
How is the cosine similarity calculated between two vectors?,db78580409
Why do we use cosine similarity instead of other metrics for comparing documents?,db78580409
Can someone explain why cosine similarity turns into matrix multiplication for embeddings and query vectors?,95feb4e75b
What happens to the vectors when using cosine similarity that makes it a dot product?,95feb4e75b
How does normalizing the vectors impact the way we calculate cosine similarity?,95feb4e75b
Why do we only care about the direction of the vectors when comparing them with cosine similarity?,95feb4e75b
Can we look at an example of how cosine similarity simplifies to matrix multiplication?,95feb4e75b
"For Module 2, do I have to create another GitHub repository, or can I just set up a new codespace?",1e829a8c6f
"Is it a good idea to use a separate codespace for Module 2, and why is that important?",1e829a8c6f
Can you explain why I shouldn't mix Module 2's dependencies with Module 1's setup?,1e829a8c6f
"If I need to delete the codespace after Module 2, should I save my work somewhere first?",1e829a8c6f
What's the process to set up a new codespace from my existing GitHub repo for this module?,1e829a8c6f
What should I do if download.py gets stuck at 0% while trying to download model.onnx from HuggingFace?,29b69fbe0b
Is there a way to solve the issue of download.py hanging when downloading from HuggingFace's CDN?,29b69fbe0b
How can I manually download model.onnx if the script is not working properly?,29b69fbe0b
Will the download.py script save time if the model.onnx file is already on my computer?,29b69fbe0b
Is there a specific link I can use to download the model.onnx file directly from the browser instead of using the script?,29b69fbe0b
What causes the discrepancy between matrix and for-loop calculations in vector search results?,e889793af9
Why do the scores from the optimized BLAS code and the Python loop sometimes not match exactly?,e889793af9
Is it normal for floating-point operations in vector search to yield slightly different outcomes?,e889793af9
How can I check if the results from the two methods are close enough instead of expecting them to match perfectly?,e889793af9
What should I do if `np.allclose` returns `False` when comparing the two score calculations in vector search?,e889793af9
What could be causing the IndexError when I'm trying to access the best chunk?,1a7b27c4df
How can I fix the IndexError: list index out of range that I'm encountering?,1a7b27c4df
Is there a specific way I should generate my embeddings to avoid the IndexError?,1a7b27c4df
Why does the number of embeddings I create need to match the document chunks?,1a7b27c4df
Can you explain the importance of using the chunk list when generating embeddings?,1a7b27c4df
I'm confused because my cosine similarity for Module 2 homework doesn't match any of the provided options. What could be the problem?,eaa17a9dc6
What embedding model should I be using for the cosine similarity in my Module 2 homework?,eaa17a9dc6
"Can I use the `sentence-transformers` model for calculating the cosine similarity in Module 2, or is there a specific requirement?",eaa17a9dc6
Is there anything specific I need to check about the content field when performing my cosine similarity calculations?,eaa17a9dc6
What should I do if my cosine similarity value is close to the right answer but slightly off after following the instructions?,eaa17a9dc6
What do I need to do to set up the API keys for Gemini and OpenAI in the Kestra module?,3860e5fe8b
Can you explain how to export the necessary API keys for the Kestra environment?,3860e5fe8b
How should I format the environment variables for the Gemini API key in Kestra?,3860e5fe8b
What steps should I follow to restart Kestra after exporting the API keys?,3860e5fe8b
Is there a specific way to reference secrets in a flow when setting up Kestra with API keys?,3860e5fe8b
What should I do if Kestra AI Copilot says it can only assist with creating Kestra flows?,04440cab11
How can I solve the issue of a missing or invalid Gemini API key for Kestra?,04440cab11
Is there a specific format I need to follow when exporting the GEMINI_API_KEY for Kestra?,04440cab11
What steps should I take if my Gemini API key is rate-limited in Kestra?,04440cab11
Can you explain the difference between GEMINI_API_KEY and SECRET_GEMINI_API_KEY in the context of Kestra?,04440cab11
What should I do if my Kestra flow continues to fail due to an invalid or missing SECRET_GEMINI_API_KEY even after I set it?,c8ca21af33
Could you explain why I might end up with a corrupted base64 value when encoding my API key for Kestra?,c8ca21af33
Is there a way to avoid issues with trailing spaces or newlines when exporting my Gemini API key for Kestra?,c8ca21af33
"After exporting the SECRET_GEMINI_API_KEY, why do I need to restart Kestra for the changes to take effect?",c8ca21af33
"What’s the best practice for managing my API keys with Kestra, especially regarding exporting the variables?",c8ca21af33
What are some limitations of using notebooks for running AI workflows instead of orchestration tools like Kestra?,193612db63
Can you explain how Kestra enhances real AI workflows beyond just running code?,193612db63
What specific features does Kestra provide that I can’t get from using a notebook for AI projects?,193612db63
How does using Kestra help with integrating different AI providers in a project?,193612db63
Why is it important to focus on production-style workflows in this course instead of just experimenting in notebooks?,193612db63
"Do I need to use Kestra for my assignments in the LLM Zoomcamp course, or can I choose a different orchestrator?",cce328db64
"Is it mandatory to work with Kestra throughout the entire course, or just for specific parts?",cce328db64
"For the capstone project, can I opt for a different orchestration tool besides Kestra?",cce328db64
What happens if I prefer to use a different orchestrator like Airflow or Prefect during the project?,cce328db64
Are there specific reasons for using Kestra in Module 3 that I should be aware of?,cce328db64
"Can I use any AI provider besides Gemini with Kestra, like Groq or a local model?",f442efe5b4
What are the options for integrating different AI providers in the Kestra course?,f442efe5b4
"Is it easy to switch between AI providers in Kestra, and are there any specific plugins needed?",f442efe5b4
"Which AI providers does Kestra support, and what makes Gemini the preferred choice for the course?",f442efe5b4
"Can I use local models in Kestra, and how does it work with the AI plugin?",f442efe5b4
Is there a way to use Kestra without coding anything at all?,bfe5502c30
What non-code options does Kestra offer for building workflows?,bfe5502c30
How does the no-code form editor in Kestra work for creating flows?,bfe5502c30
Can you explain what the AI Copilot feature in Kestra does?,bfe5502c30
Are there any tools similar to Kestra for simpler automations like Zapier?,bfe5502c30
Can someone explain why a generic AI can produce YAML property names that don't actually exist in Kestra?,93a3e8b98c
What are the best practices to ensure the YAML generated by AI for Kestra is valid?,93a3e8b98c
How can I verify that the properties generated in the Kestra YAML flows are correct?,93a3e8b98c
What should I do if I notice that the AI-generated Kestra flow has incorrect property names?,93a3e8b98c
Is there a resource I can use to check the proper YAML formatting for Kestra plugins?,93a3e8b98c
What are the reasons for monitoring token usage in Kestra workflows?,a4adc70f41
How does tracking token usage help with budgeting and forecasting?,a4adc70f41
Can you explain how prompt optimization works with token tracking?,a4adc70f41
What role do guardrails play in monitoring token usage for long-running tasks?,a4adc70f41
How can I see the token usage for each AI task in my Kestra workflows?,a4adc70f41
What steps do I need to follow to resolve the Docker error about mounts being denied from the host?,dd8b4c9fda
Can someone explain how to add a path to Docker Desktop's file sharing settings?,dd8b4c9fda
"After adding a path for Docker, what should I do next to run my container without errors?",dd8b4c9fda
"Is there a common path that causes the 'mounts denied' error in Docker, like `/tmp/kestra-wd`?",dd8b4c9fda
What does it mean when Docker can't access a host path and how can I fix that?,dd8b4c9fda
I’m a bit confused about what exactly I need to submit for the Module 3 homework in Kestra. Can you clarify?,f29f622684
"Do I need to include my scripts in the public repo for the Module 3 homework, or is just the YAML files enough?",f29f622684
How should I organize my files in the public repo before submitting for Module 3?,f29f622684
Is there anything extra I should include in my repo besides the flow files for the Module 3 assignment?,f29f622684
"Do I need to fill out the Q1, Q2, etc., directly in the submission form, or can they be included in the README instead?",f29f622684
"What does the error ""JSONDecodeError: Expecting value"" mean when I'm using the LLM to generate questions?",a3c7e1b4f9
"Why does json.loads(response) fail, and how can I fix it in my code?",a3c7e1b4f9
How can I force the LLM to output valid JSON instead of markdown or prose?,a3c7e1b4f9
What should I include in my prompt to ensure I receive a clean JSON object with the questions I want?,a3c7e1b4f9
Are there specific methods for other providers like Gemini or Groq to get the JSON format I need?,a3c7e1b4f9
Why does my Jupyter kernel crash when I try to embed the ground-truth set?,b8f2d6a30c
What can I do if my machine runs out of memory during the embedding process?,b8f2d6a30c
Are there any alternatives to using a larger model for embeddings that can help with memory issues?,b8f2d6a30c
How can I avoid crashes when working with limited RAM on my laptop?,b8f2d6a30c
What steps can I take to efficiently process the ground-truth set without losing data?,b8f2d6a30c
Are there any specific limits to be aware of when using the free-tier Gemini for generating datasets?,c1e9f4b820
What should I do if I hit the daily quota while working on my project?,c1e9f4b820
Is there a cost-effective alternative to OpenAI when I face rate limits?,c1e9f4b820
